City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Yarmouth,41.7057,-70.2286,4.44,70,1,5.14,US,1610971237
Otradnoye,59.7775,30.8181,-4.0,93,90,2.0,RU,1610971237
Pokhara,28.2333,83.9833,16.23,46,26,1.3,NP,1610971078
Colinas,-6.0258,-44.2492,25.47,87,100,1.63,BR,1610971238
Bouloupari,-21.8667,166.05,25.0,94,0,1.4,NC,1610971238
Salekhard,66.53,66.6019,-27.27,85,100,3.98,RU,1610971238
Breyten,-26.3018,29.987,26.81,33,30,3.44,ZA,1610971238
Punta Arenas,-53.15,-70.9167,10.0,66,40,9.77,CL,1610971238
Keetmanshoop,-26.5833,18.1333,32.67,14,29,1.14,NA,1610971214
Havøysund,70.9963,24.6622,0.0,93,75,5.14,NO,1610971239
Mount Gambier,-37.8333,140.7667,14.0,94,90,3.6,AU,1610971138
Maceió,-9.6658,-35.7353,29.0,61,40,4.12,BR,1610971240
Darhan,49.4867,105.9228,-17.01,86,6,1.37,MN,1610971241
Itarema,-2.9248,-39.9167,28.72,63,99,5.57,BR,1610971241
Sandakan,5.8402,118.1179,26.0,89,40,1.54,MY,1610971241
Vardø,70.3705,31.1107,-2.0,93,75,3.09,NO,1610971242
Adré,13.4667,22.2,31.19,11,54,5.35,TD,1610971243
Dikson,73.5069,80.5464,-28.23,84,2,8.17,RU,1610971243
Husavik,66.0449,-17.3389,2.0,87,90,8.23,IS,1610971243
Sagua la Grande,22.8067,-80.0756,19.0,94,40,1.54,CU,1610971243
Krabi,8.0726,98.9105,27.0,74,20,3.09,TH,1610971243
Guerrero Negro,27.9769,-114.0611,12.82,73,0,0.84,MX,1610971244
Lorengau,-2.0226,147.2712,28.48,76,72,4.4,PG,1610971244
Mahajanga,-15.7167,46.3167,31.0,74,40,6.69,MG,1610971245
Rodrigues Alves,-7.738,-72.6509,23.67,91,94,1.15,BR,1610971245
Japura,-0.3167,102.35,23.35,87,94,0.29,ID,1610971245
Senno,59.5336,33.9167,-10.22,97,100,1.73,RU,1610971245
Ketchikan,55.3422,-131.6461,6.0,100,90,2.57,US,1610971246
Gimli,50.6336,-96.9907,-20.0,77,15,4.12,CA,1610971246
Troitsko-Pechorsk,62.7084,56.1964,-29.11,86,8,1.23,RU,1610971246
Dakoro,14.5106,6.765,29.27,13,100,8.86,NE,1610971246
Strelka,58.0728,93.0344,-8.05,96,100,3.85,RU,1610971246
Pochutla,15.7432,-96.4661,20.0,87,4,0.45,MX,1610971247
Tetovo,42.0106,20.9714,0.0,47,0,2.57,MK,1610971247
Stromness,58.965,-3.296,5.0,81,20,7.72,GB,1610971247
Kupang,-10.1667,123.5833,25.0,100,40,1.54,ID,1610971247
Nuuk,64.1835,-51.7216,-3.0,68,40,7.2,GL,1610971248
Coyhaique,-45.5752,-72.0662,14.0,72,20,1.03,CL,1610971248
Henties Bay,-22.116,14.2845,21.11,79,21,5.7,NA,1610971248
Lind,56.1,8.9833,3.89,100,90,4.63,DK,1610971248
Ilulissat,69.2167,-51.1,-8.0,53,40,6.69,GL,1610971248
Kautokeino,69.0125,23.0412,-9.56,91,94,1.35,NO,1610971249
Krasnosel'kup,65.7,82.4667,-23.29,91,100,1.79,RU,1610971249
Faro,37.0194,-7.9322,14.0,67,0,3.09,PT,1610971249
Minbu,20.1833,94.8833,25.05,46,6,2.51,MM,1610971249
Byron Bay,-28.65,153.6167,21.0,88,100,2.57,AU,1610971095
Nālūt,30.3333,10.85,13.34,35,0,4.21,LY,1610971250
Buala,-8.145,159.5921,27.11,83,75,3.83,SB,1610971250
Vestmannaeyjar,63.4427,-20.2734,2.0,75,0,9.26,IS,1610971250
Kombissiri,12.0656,-1.3375,32.0,12,52,5.66,BF,1610971250
Tarauacá,-8.1614,-70.7656,23.76,92,100,1.02,BR,1610971251
Le Port,-20.9373,55.2919,31.0,62,0,11.32,RE,1610971209
Klaksvík,62.2266,-6.589,2.0,100,75,2.64,FO,1610971252
Nouadhibou,20.931,-17.0347,20.0,30,0,6.17,MR,1610971034
Coari,-4.085,-63.1414,25.14,90,98,0.39,BR,1610971252
Dakar,14.6937,-17.4441,23.0,35,100,3.09,SN,1610971253
Tiznit Province,29.5833,-9.5,17.83,27,0,1.46,MA,1610971253
Ponta do Sol,32.6667,-17.1,15.0,69,99,1.79,PT,1610971253
Richards Bay,-28.783,32.0377,26.35,60,76,4.89,ZA,1610971253
Opuwo,-18.0607,13.84,26.67,44,85,3.74,NA,1610971213
Mitsamiouli,-11.3847,43.2844,28.72,73,27,5.36,KM,1610971254
Saint George,37.1041,-113.5841,4.0,28,1,1.54,US,1610971097
Ocean City,39.2776,-74.5746,2.22,80,1,2.57,US,1610971255
Esperance,-33.8667,121.9,23.0,49,0,7.72,AU,1610971239
Nikki,9.9401,3.2108,34.61,10,52,2.98,BJ,1610971036
Swan Hill,-35.3378,143.5544,20.85,41,0,5.94,AU,1610971255
Ranot,7.7777,100.3213,25.59,77,92,8.16,TH,1610971256
Talcahuano,-36.7167,-73.1167,13.0,94,0,1.54,CL,1610971256
Vanavara,60.34,102.2797,-28.05,88,91,2.03,RU,1610971256
Airai,-8.9266,125.4092,16.67,100,100,0.28,TL,1610971256
Atlantic City,39.3643,-74.4229,3.33,80,1,2.57,US,1610970988
Hamilton,39.1834,-84.5333,-1.0,86,90,3.6,US,1610971257
Katete,-0.7818,29.7544,29.6,28,100,3.57,UG,1610971257
Bredasdorp,-34.5322,20.0403,25.0,53,0,10.29,ZA,1610971258
Esil,51.9556,66.4042,-19.0,90,57,2.56,KZ,1610971259
Sur,22.5667,59.5289,25.26,42,0,2.68,OM,1610971259
Constitución,-35.3333,-72.4167,17.04,61,0,1.61,CL,1610971259
Ust-Kuyga,70.0167,135.6,-43.31,76,63,1.55,RU,1610971259
Baruun-Urt,46.6806,113.2792,-20.11,92,100,2.28,MN,1610971259
Westport,41.1415,-73.3579,2.22,75,1,2.57,US,1610971260
Sistranda,63.7256,8.834,-1.0,80,20,9.26,NO,1610971261
Santa Rosa,14.3122,121.1114,27.0,69,75,2.57,PH,1610971261
Pevek,69.7008,170.3133,-34.85,85,48,1.72,RU,1610971261
Fort-Shevchenko,44.5086,50.263,0.89,93,100,9.02,KZ,1610971261
Fairbanks,64.8378,-147.7164,-15.0,85,1,1.95,US,1610971261
Mehamn,71.0357,27.8492,-1.0,93,90,5.66,NO,1610971262
San Cristobal,7.7669,-72.225,23.0,94,75,2.06,VE,1610971262
Busselton,-33.65,115.3333,24.02,54,33,3.05,AU,1610971220
Alice Springs,-23.7,133.8833,26.0,19,0,3.09,AU,1610971208
Tooele,40.5308,-112.2983,1.11,86,90,2.03,US,1610971262
Sorong,-0.8833,131.25,26.25,86,100,2.51,ID,1610971263
Nyurba,63.2842,118.3319,-42.08,79,98,1.32,RU,1610971263
